Название,Адрес,Широта,Долгота
"Доктор Авнер Меир, 22, מאיר אבנר 22 ",,31.953838,34.816201
"Йешаяху, 16,  ישעיהו הנביא 16 א",,31.951858,34.817862
"Эзра, 39, Ришон-Лецион | עזרא 39 א' ראשון לציון",,31.952068,34.82275
"Эзра, 46, Ришон-ЛеЦион | עזרא א' 46 ראשון לציון",,31.951361,34.824271
"Зоровавель, 1א, Ришон-Лецион | זרובבל 1 א' ראשון לציון",,31.951038,34.825406
"Асирей Цион, 7, Ришон-Лецион | אסירי ציון 7 א' ראשון לציון",,31.951236,34.828931
"А-Ракефета, 45, Ришон-Лецион | הרקפת 45 א' ראשון לציון",,31.954572,34.827568
"Площадь Модиин, 10, Ришон-Лецион | כיכר מודיעין 10 ראשון לציון",,31.962642,34.823413
"Гуш Эцион, 30, Ришон-Лецион | גוש עציון 30 ראשון לציון",,31.967383,34.819854
"Э-Хацав, 16א, Ришон-Лецион | החצב 16 א' ראשון לציון",,31.957377,34.822655
"Алькалай, 28א, Ришон-Лецион | אלקלעי 28 א' ראשון לציון",,31.964716,34.8148
"Смилянский, 34, Ришон-Лецион | סמילנסקי 34 ראשון לציון",,31.955672,34.805649
"Малькей Исраэль, 6, Ришон-Лецион | מלכי ישראל 6 א' ראשון לציון",,31.979141,34.789765
"Шломо А-Мелех, 10א, Ришон-Лецион | שלמה המלך 10 א' ראשון לציון",,31.980526,34.787688
"Шалом Эш, 8, Ришон-Лецион | שלום אש 8 ב' ראשון לציון",,31.98279,34.788326
"Натан Шломо, 15, Ришон-Лецион | נתן שלמה 15 ראשון לציון",,31.959081,34.802089
"Шнеер Залман, 18א, Ришон-Лецион | זלמן שניאור 18 א' ראשון לציון",,31.98574,34.787672
"Тидар Давид, 2, Ришон-Лецион | התדהר 2 א' ראשון לציון",,31.986276,34.785984
"Хаим Ариав, 4, Ришон-Лецион | חיים אריאב 4 א' ראשון לציון",,31.987161,34.78624
"А-Кнессет, 1, Ришон-Лецион | הכנסת 1 א' ראשון לציון",,31.985081,34.788698
"Шай Агнон, 1א, Ришон-Лецион | שי עגנון 1 א' ראשון לציון",,31.959081,34.802089
"Голинкин, 8, Ришон-Лецион | גולינקין 8 א' ראשון לציון",,31.98585,34.790331
"Яаков Коен, 28, Ришон-Лецион | יעקב כהן 28 ראשון לציון",,31.981435,34.788179
"Абу Хатцера 11, Ришон-Лецион | אבו חצירא 11 א' ראשון לציון",,31.983675,34.787522
"Сфинат А-Шлоша, 14, Ришон-Лецион | ספינת השלושה 14 ראשון לציון",,31.98403,34.789027
"Мордехай Анилевич, 20, Ришон-Лецион | אנילביץ 20 ראשון לציון",,31.984501,34.790129
"Мордехай Анилевич, 20א, Ришон-Лецийон | אנילביץ 20 א' ראשון לציון",,31.984501,34.790129
"А-Агас, 2, Ришон-Лецион | האגס 2 ראשון לציון",,31.986037,34.805362
"А-Тамар, 2, Ришон-Лецион | התמר 2 ראשון לציון",,31.987117,34.805771
"Эли Коэн, 4, Ришон-Лецион | אלי כהן 4 ראשון לציון",,31.986321,34.80625
"А-Баним, 13א, Ришон-Лецион | הבנים 13 א' ראשון לציון",,31.976878,34.804197
"А-Шнаим, 17, Ришон-Лецион | השניים 17 ראשון לציון‎‎‎",,31.987889,34.806073
Ха-Харув (общественный сад) Ришон-ле-Цион | החרוב (גינה ציבורית) ראשון לציון,,31.962327,34.798978
